,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,CASH FLOW STATEMENT,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
Thuế thu nhập doanh nghiệp đã trả,"-387,867,697,352.00","-406,872,658,989.00","-9,619,675,838.00","-27,416,666,170.00","-116,083,513,736.00","-849,105,119,441.00","-23,605,606,592.00","-12,405,917,246.00","-51,647,870,077.00","-1,670,270,526,989.00","-5,880,614,099.00","-36,294,935,712.00","-282,396,590,908.00","-2,210,061,924,270.00","-217,272,876,996.00"
Tiền thu khác từ các hoạt động kinh doanh,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"447,272,727.00",0.00,0.00,0.00,"439,016,917,840.00",0.00,0.00
Tiền chi khác từ các hoạt động kinh doanh,"-19,904,558,293.00","-215,138,161,878.00","-82,665,294,478.00","-120,152,763,848.00","-98,926,312,478.00","-401,971,341,603.00","-107,787,269,936.00","-79,428,476,117.00","-194,420,019,511.00","-220,131,091,954.00","-67,494,643,569.00","-68,517,258,315.00","-190,617,586,065.00","-289,234,924,371.00","-245,192,384,986.00"
Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,"-2,356,726,048,320.00","-2,172,518,070,703.00","1,022,434,224,490.00","-1,277,285,294,183.00","-10,373,912,914,493.00","-12,623,954,240,718.00","2,505,750,845,717.00","-10,586,771,366,756.00","-9,083,163,490,691.00","-2,728,509,645,771.00","-5,539,961,327,915.00","-13,938,241,340,574.00","-3,607,680,554,438.00","-2,921,294,017,214.00","-10,946,013,242,594.00"
Tiền mua tài sản cố định và các tài sản dài hạn khác,"-3,787,933,631,685.00","-2,818,742,500,442.00","-2,799,215,791,708.00","-4,360,794,062,575.00","-7,374,116,374,071.00","-14,797,827,829,267.00","-4,038,554,034,033.00","-9,401,555,834,547.00","-7,257,089,099,480.00","-6,168,853,176,586.00","-4,519,331,143,893.00","-13,174,576,334,243.00","-1,885,559,821,997.00","-5,489,839,982,929.00","-6,703,186,347,074.00"
Tiền thu được từ thanh lý tài sản cố định,"2,310,679,826.00","85,782,979,543.00","-72,804,191,977.00","43,509,632,440.00","151,206,936,404.00","1,139,714,227,578.00","2,758,324,845.00","-332,578,559,029.00","443,699,573,180.00","8,330,267,880.00","27,600,517,030.00","3,219,518,312.00","29,666,213,081.00","5,137,451,465.00","4,953,208,163.00"
Tiền cho vay hoặc mua công cụ nợ,"-7,221,150,335,894.00","-11,146,363,396,151.00","-8,820,154,397,260.00","-7,534,337,000,000.00","-12,287,268,028,348.00","-8,465,849,467,273.00","-6,908,419,972,602.00","-6,770,711,616,439.00","-6,360,476,824,332.00","-5,526,332,899,179.00","-9,102,740,296,773.00","-5,995,439,000,000.00","-9,695,300,000,000.00","-15,410,488,328,272.00","-19,094,908,027,888.00"
Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,"8,592,702,929,212.00","9,915,617,722,611.00","13,396,144,607,939.00","10,386,022,792,583.00","9,589,411,407,600.00","8,374,734,396,151.00","13,728,665,397,260.00","5,612,320,000,000.00","3,871,936,250,811.00","8,422,939,517,832.00","7,723,722,972,602.00","4,707,217,381,781.00","6,932,197,909,676.00","9,808,255,809,184.00","15,873,130,453,662.00"
Đầu tư vào các doanh nghiệp khác,"-371,644,175,956.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"-70,900,000,000.00","-373,200,000,000.00","-1,860,000,000,000.00","-1,660,000,000,000.00"
Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.00,0.00,0.00,0.00,"-526,054,585,230.00",0.00,0.00,0.00,"31,246,619,001.00","226,687,184,000.00","15,000,000,000.00","209,046,191,384.00","1,155,000,000,000.00","9,754,502,725,420.00","46,272,643,836.00"
