,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,CASH FLOW STATEMENT,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CHỈ TIÊU,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
(Tăng)/Giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,"3,388,479,000,000.00","901,645,000,000.00","786,138,000,000.00","1,370,944,000,000.00",0.00,"-265,425,000,000.00","265,425,000,000.00","-350,654,000,000.00","325,299,000,000.00","25,355,000,000.00","-30,000,000.00","-308,837,000,000.00","7,392,000,000.00","301,475,000,000.00","-17,126,000,000.00"
(Tăng)/Giảm các khoản cho vay khách hàng,"-29,583,171,000,000.00","-58,287,752,000,000.00","-26,247,220,000,000.00","-26,923,390,000,000.00","-87,042,508,000,000.00","-41,053,021,000,000.00","-57,131,818,000,000.00","-33,852,033,000,000.00","-116,550,166,000,000.00","-78,504,528,000,000.00","-98,892,259,000,000.00","-91,211,716,000,000.00","-1,709,651,000,000.00","-36,221,703,000,000.00","-64,213,187,000,000.00"
"(Tăng)/Giảm lãi, phí phải thu",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tăng/(Giảm) nguồn dự phòng để bù đắp tổn thất các khoản,"-15,017,966,000,000.00","-7,017,158,000,000.00","-6,720,876,000,000.00","-4,007,419,000,000.00","-9,009,997,000,000.00","-5,046,848,000,000.00","-10,551,761,000,000.00","-1,771,879,000,000.00","-1,336,708,000,000.00","-6,499,884,000,000.00","-7,796,382,000,000.00","-958,767,000,000.00","-3,866,083,000,000.00","-8,072,753,000,000.00","-6,118,377,000,000.00"
(Tăng)/Giảm khác về tài sản hoạt động,"-8,558,500,000,000.00","20,604,837,000,000.00","5,745,425,000,000.00","-1,788,483,000,000.00","-196,133,000,000.00","4,837,965,000,000.00","654,035,000,000.00","5,684,623,000,000.00","2,915,984,000,000.00","2,662,111,000,000.00","-807,958,000,000.00","-1,351,791,000,000.00","-7,280,127,000,000.00","-9,939,563,000,000.00","-3,075,410,000,000.00"
Tăng/(Giảm) các khoản nợ chính phủ và NHNN,"6,139,303,000,000.00","-4,720,707,000,000.00","-94,620,397,000,000.00","16,138,822,000,000.00","237,085,000,000.00","24,322,958,000,000.00","65,717,864,000,000.00","-16,397,437,000,000.00","58,826,614,000,000.00","-15,709,437,000,000.00","-47,154,000,000.00","28,823,597,000,000.00","-22,758,753,000,000.00","100,311,949,000,000.00","-50,333,699,000,000.00"
Tăng/(Giảm) các khoản tiền gửi và vay các TCTD khác,"-22,709,186,000,000.00","-32,151,115,000,000.00","86,659,081,000,000.00","24,674,814,000,000.00","15,811,511,000,000.00","21,194,188,000,000.00","-28,107,382,000,000.00","1,228,422,000,000.00","-22,495,694,000,000.00","32,897,438,000,000.00","-2,053,036,000,000.00","105,071,603,000,000.00","5,666,855,000,000.00","44,651,613,000,000.00","10,142,302,000,000.00"
Tăng/(Giảm) tiền gửi của khách hàng,"59,458,097,000,000.00","23,174,349,000,000.00","37,698,068,000,000.00","275,143,000,000.00","100,575,444,000,000.00","16,765,840,000,000.00","39,165,485,000,000.00","50,060,075,000,000.00","89,426,247,000,000.00","14,910,769,000,000.00","98,730,305,000,000.00","55,569,662,000,000.00","18,204,636,000,000.00","30,445,400,000,000.00","66,632,096,000,000.00"
Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0.00,0.00,0.00,"50,406,000,000.00","505,540,000,000.00","-555,946,000,000.00","1,378,025,000,000.00","-1,378,025,000,000.00","416,196,000,000.00","116,308,000,000.00","109,077,000,000.00","-556,043,000,000.00","-12,511,000,000.00","276,192,000,000.00","-243,276,000,000.00"
"Tăng/(Giảm) vốn tài trợ, uỷ thác đầu tư của chính phủ và các TCTD khác","-36,561,000,000.00","-73,489,000,000.00","87,400,000,000.00","91,898,000,000.00","-260,231,000,000.00","-36,370,000,000.00","31,185,000,000.00","-127,816,000,000.00","75,172,000,000.00","-64,539,000,000.00","48,131,000,000.00","-45,614,000,000.00","-4,030,000,000.00","-51,503,000,000.00","-7,774,000,000.00"
Tăng/(Giảm) phát hành giấy tờ có giá,"10,546,372,000,000.00","20,222,029,000,000.00","1,025,911,000,000.00","-24,739,739,000,000.00","27,497,107,000,000.00","-13,831,737,000,000.00","-1,287,114,000,000.00","31,568,659,000,000.00","19,852,555,000,000.00","51,678,112,000,000.00","24,597,724,000,000.00","-45,754,207,000,000.00","-8,169,367,000,000.00","-24,765,849,000,000.00","-8,495,974,000,000.00"
"Tăng/(Giảm) lãi, phí phải trả",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tăng/(Giảm) khác về công nợ hoạt động,"-673,710,000,000.00","3,414,175,000,000.00","-3,929,988,000,000.00","4,759,176,000,000.00","-5,808,831,000,000.00","447,525,000,000.00","1,094,672,000,000.00","-1,264,081,000,000.00","-2,532,925,000,000.00","-1,436,538,000,000.00","2,908,410,000,000.00","-626,198,000,000.00","-1,516,396,000,000.00","1,969,182,000,000.00","121,510,000,000.00"
Thuế thu nhập doanh nghiệp đã trả,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chi từ các quỹ của TCTD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Thu được từ nợ khó đòi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
