"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Data Title","CASH FLOW STATEMENT","","","","","","","","","","","","","",""
"Date Of Extract","8/25/2026","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026","Q2 2026"
"Thuế thu nhập doanh nghiệp đã trả","-580,903,064,164.00","-286,845,937,469.00","-162,489,287,440.00","-255,133,912,886.00","-266,834,360,511.00","-633,330,715,962.00","-233,770,928,124.00","-228,190,332,417.00","-114,629,531,066.00","-1,286,964,186,262.00","-241,660,887,432.00","-452,247,490,721.00","-257,197,692,890.00","-979,468,791,211.00","-71,991,607,704.00"
"Tiền thu khác từ các hoạt động kinh doanh","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Tiền chi khác từ các hoạt động kinh doanh","-74,628,727,662.00","-221,143,116,021.00","-52,026,419,984.00","-9,735,692,245.00","-8,949,467,333.00","-369,965,368,266.00","-14,014,690,585.00","-10,823,229,000.00","-13,864,424,110.00","-184,023,466,180.00","-144,386,436,677.00","-40,440,604,859.00","-10,850,821,537.00","-23,070,924,698.00","-89,727,170,253.00"
"Lưu chuyển tiền tệ ròng từ hoạt động đầu tư","6,703,995,613,784.00","-1,559,114,117,057.00","-7,116,924,662,988.00","-103,411,552,756.00","2,232,352,102,013.00","-3,211,975,594,253.00","-2,019,172,146,908.00","-127,308,736,159.00","-3,103,355,695,781.00","-4,397,389,001,760.00","-2,836,602,767,575.00","-1,097,259,863,860.00","-3,293,491,958,434.00","-2,254,895,190,348.00","-1,517,009,632,160.00"
"Tiền mua tài sản cố định và các tài sản dài hạn khác","-1,242,589,310,752.00","-623,674,682,456.00","-1,295,411,927,462.00","-1,123,052,126,580.00","-936,419,359,950.00","-647,322,276,985.00","-912,958,599,267.00","-876,954,143,250.00","-838,077,306,200.00","-2,607,427,905,351.00","-687,830,960,368.00","-830,371,040,007.00","-972,289,444,130.00","-589,068,929,719.00","-747,414,308,012.00"
"Tiền thu được từ thanh lý tài sản cố định","437,966,142.00","11,586,480,653.00","769,674,106.00","7,657,615,939.00","9,526,779,053.00","10,295,249,160.00","1,618,261,988.00","1,616,251,625.00","697,620,442.00","3,212,123,070.00","810,291,524.00","2,509,745,476.00","782,056,649.00","2,080,740,035.00","990,213,854.00"
"Tiền cho vay hoặc mua công cụ nợ","-7,549,708,156,781.00","-6,731,446,119,194.00","-13,958,940,271,643.00","-5,579,325,976,926.00","-7,266,476,702,593.00","-8,977,359,495,900.00","-11,804,030,293,743.00","-8,247,959,851,394.00","-12,927,219,472,332.00","-10,159,337,998,571.00","-17,090,346,868,606.00","-10,246,875,400,883.00","-19,515,962,555,746.00","-8,105,033,405,809.00","-8,970,887,005,433.00"
"Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ","15,004,802,557,968.00","5,858,264,271,833.00","7,357,672,039,717.00","6,413,233,166,862.00","10,829,081,604,630.00","6,851,263,040,484.00","10,099,852,425,500.00","8,725,918,508,280.00","10,606,724,400,366.00","8,175,498,984,215.00","14,236,985,730,372.00","9,706,147,048,362.00","17,046,161,206,333.00","6,907,782,688,785.00","7,738,571,528,490.00"
"Đầu tư vào các doanh nghiệp khác","-121,688,535,896.00","-306,515,795,863.00","-131,577,791,087.00","-260,888,050,990.00","-1,053,326,490,167.00","-733,152,087,882.00","-10,808,869,438.00","-94,349,648,464.00","-267,882,879,016.00","-94,356,673,179.00","-131,294,469,705.00","-69,458,442,668.00","-415,590,467,225.00","-737,724,460,792.00","-41,912,021,366.00"
"Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác","28,200,047,000.00","0.00","0.00","94,939,906,000.00","0.00","0.00","0.00","0.00","48,102,486,048.00","5,739,731,680.00","17,433,745,902.00","0.00","358,779,074.00","3,660,000,000.00","-294,000,000.00"
"Cổ tức và tiền lãi nhận được","584,541,046,103.00","232,671,727,970.00","910,563,613,381.00","344,023,912,939.00","649,966,271,040.00","284,299,976,870.00","607,154,928,052.00","364,420,147,044.00","274,299,454,911.00","279,282,736,376.00","817,639,763,306.00","340,788,225,860.00","563,048,466,611.00","263,408,177,152.00","503,935,960,307.00"
"Lưu chuyển tiền tệ từ hoạt động tài chính","-5,991,386,699,398.00","-168,106,676,636.00","6,833,629,999,298.00","-2,708,279,576,174.00","-5,125,627,685,183.00","1,969,285,169,830.00","-1,213,567,970,069.00","-1,972,318,909,327.00","-981,164,416,268.00","4,273,045,645,176.00","1,981,787,361,553.00","-3,402,360,894,241.00","-51,149,242,956.00","2,586,191,593,366.00","694,462,064,094.00"
"Tiền thu từ phát hành cổ phiếu và vốn góp","7,181,600,000.00","0.00","73,050,500,000.00","0.00","0.00","0.00","0.00","57,131,819,874.00","106,211,170,000.00","0.00","1,196,229,390,000.00","3,000,000.00","2,794,778.00","2,000,000.00","65,991,899.00"
"Chi trả cho việc mua lại, trả lại cổ phiếu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Tiền thu được các khoản đi vay","2,888,553,449,095.00","6,698,228,161,444.00","11,615,919,717,863.00","8,360,601,367,622.00","7,596,496,990,331.00","10,487,172,776,046.00","7,228,633,945,893.00","7,449,918,727,586.00","5,780,557,256,676.00","12,175,546,656,648.00","11,552,806,194,767.00","7,824,889,714,007.00","11,517,570,319,652.00","6,750,787,827,303.00","6,874,693,026,240.00"
"Tiển trả các khoản đi vay","-8,884,259,572,642.00","-6,685,088,864,823.00","-4,450,236,364,211.00","-8,696,647,987,147.00","-12,719,909,236,528.00","-7,982,467,720,579.00","-7,172,714,473,158.00","-9,459,849,670,403.00","-5,398,194,818,783.00","-7,902,260,870,560.00","-7,901,515,047,258.00","-11,220,806,613,192.00","-9,866,402,296,591.00","-4,164,356,153,983.00","-4,467,518,054,933.00"
"Tiền thanh toán vốn gốc đi thuê tài chính","-2,464,679,951.00","-2,288,208,062.00","-27,228,980,554.00","-294,707,124.00","-357,879,371.00","-345,563,252.00","-336,397,420.00","-1,400,699,807.00","-222,686,386.00","-230,583,912.00","-262,813,768.00","-252,389,781.00","-241,007,595.00","-239,550,104.00","-169,095,237.00"
"Cổ tức đã trả","-397,495,900.00","-178,957,765,195.00","-377,874,873,800.00","-2,371,938,249,525.00","-1,857,559,615.00","-535,074,322,385.00","-1,269,151,045,384.00","-18,119,086,577.00","-1,469,515,337,775.00","-9,557,000.00","-2,865,470,362,188.00","-6,194,605,275.00","-1,702,079,053,200.00","-2,529,850.00","-1,712,609,803,875.00"
"Tiền lãi đã nhận","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Lưu chuyển tiền thuần trong kỳ","2,711,239,992,990.00","-3,153,916,012,548.00","2,984,475,967,307.00","892,281,854,179.00","1,081,787,534,298.00","-1,900,291,779,601.00","496,137,431,521.00","1,136,317,151,500.00","1,312,036,086,513.00","-2,631,247,078,985.00","3,335,661,594,708.00","-155,600,697,322.00","763,809,375,413.00","-2,516,517,314,174.00","879,600,143,338.00"
"Tiền và tương đương tiền đầu kỳ","3,737,291,803,926.00","6,440,177,174,322.00","3,289,424,451,229.00","6,236,475,101,406.00","7,153,625,069,795.00","8,279,156,683,221.00","6,341,457,504,996.00","6,836,262,549,195.00","7,935,632,407,357.00","9,315,440,438,884.00","6,755,645,214,252.00","10,019,630,995,136.00","9,853,512,731,370.00","10,522,105,729,992.00","7,993,577,611,642.00"
"Ảnh hưởng của chênh lệch tỷ giá","-8,354,622,648.00","3,163,289,455.00","-37,425,317,130.00","24,868,114,210.00","43,744,079,128.00","-37,407,398,624.00","-1,332,387,322.00","-36,947,293,338.00","67,771,945,014.00","71,451,854,353.00","-71,675,813,824.00","-10,517,566,444.00","-95,216,376,791.00","-12,010,804,176.00","-30,016,622,250.00"
"Tiền và tương đương tiền cuối kỳ","6,440,177,174,268.00","3,289,424,451,229.00","6,236,475,101,406.00","7,153,625,069,795.00","8,279,156,683,221.00","6,341,457,504,996.00","6,836,262,549,195.00","7,935,632,407,357.00","9,315,440,438,884.00","6,755,645,214,252.00","10,019,630,995,136.00","9,853,512,731,370.00","10,522,105,729,992.00","7,993,577,611,642.00","8,843,161,132,730.00"
"","","","","","","","","","","","","","","",""
"Dữ liệu được cung cấp bởi FiinTrade","","","","","","","","","","","","","","",""
"https://fiintrade.vn/","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
