"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Data Title","INCOME STATEMENT","","","","","","","","","","","","","",""
"Date Of Extract","8/25/2026","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"CHỈ TIÊU","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026","Q2 2026"
"Lãi/(lỗ) ròng trước thuế","1,989,028,630,914.00","2,120,643,647,098.00","2,218,132,633,347.00","2,429,150,459,859.00","2,435,092,799,591.00","2,533,582,054,552.00","2,668,968,551,824.00","2,908,620,633,374.00","2,958,495,178,069.00","3,024,693,510,849.00","3,141,032,584,460.00","3,374,738,598,090.00","3,503,168,140,397.00","2,803,844,281,676.00","2,910,392,034,484.00"
"Thuế thu nhập doanh nghiệp – hiện thời","-335,964,806,453.00","-308,330,144,701.00","-337,905,337,939.00","-344,595,196,181.00","-424,981,344,481.00","-389,755,423,988.00","-561,248,620,389.00","-441,224,951,554.00","-530,698,618,727.00","-377,287,599,563.00","-463,961,750,401.00","-589,553,627,034.00","-486,195,215,444.00","-454,678,597,413.00","-268,616,407,190.00"
"Thuế thu nhập doanh nghiệp – hoãn lại","-33,171,856,353.00","-2,514,048,503.00","-24,645,039,772.00","-8,685,907,653.00","41,129,315,871.00","16,438,659,078.00","179,993,203,349.00","11,201,940,680.00","73,049,924,176.00","-51,848,430,977.00","63,200,566,619.00","116,360,781,594.00","-22,008,107,857.00","127,624,149,218.00","-71,436,527,673.00"
"Chi phí thuế thu nhập doanh nghiệp","-369,136,662,806.00","-310,844,193,204.00","-362,550,377,711.00","-353,281,103,834.00","-383,852,028,610.00","-373,316,764,910.00","-381,255,417,040.00","-430,023,010,874.00","-457,648,694,551.00","-429,136,030,540.00","-400,761,183,782.00","-473,192,845,440.00","-508,203,323,301.00","-327,054,448,195.00","-340,052,934,863.00"
"Lãi/(lỗ) thuần sau thuế","1,619,891,968,108.00","1,809,799,453,894.00","1,855,582,255,636.00","2,075,869,356,025.00","2,051,240,770,981.00","2,160,265,289,642.00","2,287,713,134,784.00","2,478,597,622,500.00","2,500,846,483,518.00","2,595,557,480,309.00","2,740,271,400,678.00","2,901,545,752,650.00","2,994,964,817,096.00","2,476,789,833,481.00","2,570,339,099,621.00"
"Lợi ích của cổ đông thiểu số","268,290,862,292.00","316,236,873,004.00","346,362,724,393.00","336,528,995,781.00","322,840,809,646.00","362,234,426,114.00","412,554,366,247.00","389,745,410,092.00","406,120,515,813.00","421,256,093,784.00","482,808,812,555.00","466,704,317,918.00","485,442,596,976.00","-10,581,753,618.00","2,752,085,187.00"
"Lợi nhuận của Cổ đông của Công ty mẹ","1,351,601,105,816.00","1,493,562,580,890.00","1,509,219,531,243.00","1,739,340,360,244.00","1,728,399,961,335.00","1,798,030,863,528.00","1,875,158,768,537.00","2,088,852,212,408.00","2,094,725,967,705.00","2,174,301,386,525.00","2,257,462,588,123.00","2,434,841,434,732.00","2,509,522,220,120.00","2,487,371,587,099.00","2,567,587,014,434.00"
"Lãi cơ bản trên cổ phiếu","1,235.00","1,361.00","1,013.00","1,373.00","925.00","1,231.00","1,099.00","1,430.00","347.00","1,478.00","1,135.00","1,036.00","1,173.00","1,460.00","1,507.00"
"Lãi trên cổ phiếu pha loãng","1,235.00","1,361.00","1,013.00","1,373.00","925.00","1,231.00","1,099.00","1,430.00","347.00","1,478.00","1,135.00","1,036.00","1,173.00","1,460.00","1,507.00"
"EBIT","6,794,557,295,869.00","7,219,000,405,951.00","7,558,264,345,132.00","8,080,290,020,181.00","8,451,627,899,363.00","8,862,467,358,765.00","9,292,985,241,919.00","9,791,429,935,520.00","10,508,347,783,359.00","10,785,427,423,177.00","10,752,007,359,535.00","10,919,879,417,245.00","10,988,543,474,155.00","10,425,688,628,452.00","9,956,639,122,287.00"
"EBITDA","8,627,621,794,997.00","9,132,115,477,728.00","9,565,749,710,738.00","10,190,190,787,133.00","10,738,142,058,051.00","11,256,374,502,773.00","11,774,915,228,161.00","12,360,099,630,987.00","13,043,646,259,024.00","13,347,374,679,962.00","13,405,570,483,865.00","13,663,353,950,005.00","13,902,721,834,887.00","13,105,770,322,046.00","12,349,455,995,321.00"
"","","","","","","","","","","","","","","",""
"Dữ liệu được cung cấp bởi FiinTrade","","","","","","","","","","","","","","",""
"https://fiintrade.vn/","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
