,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,BALANCE SHEEET,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CHỈ TIÊU,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
Dự phòng giảm giá chứng khoán đầu tư,"-68,958,000,000.00","-60,192,000,000.00","-50,463,000,000.00","-90,766,000,000.00","-249,941,000,000.00","-359,378,000,000.00","-394,309,000,000.00","-595,702,000,000.00","-586,185,000,000.00","-515,491,000,000.00","-519,289,000,000.00","-530,427,000,000.00","-531,639,000,000.00","-146,759,000,000.00","-169,019,000,000.00"
"Góp vốn, đầu tư dài hạn","3,586,415,000,000.00","3,547,286,000,000.00","3,269,660,000,000.00","3,287,036,000,000.00","3,426,624,000,000.00","3,530,248,000,000.00","3,743,822,000,000.00","3,761,550,000,000.00","3,933,844,000,000.00","4,071,083,000,000.00","4,231,173,000,000.00","4,385,480,000,000.00","4,428,296,000,000.00","4,515,197,000,000.00","4,586,479,000,000.00"
Đầu tư vào công ty con,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Đầu tư vào công ty liên doanh,"3,303,160,000,000.00","3,331,005,000,000.00","3,053,379,000,000.00","3,070,755,000,000.00","3,206,452,000,000.00","3,310,217,000,000.00","3,523,791,000,000.00","3,541,519,000,000.00","3,706,673,000,000.00","3,843,956,000,000.00","4,004,046,000,000.00","4,158,353,000,000.00","4,193,834,000,000.00","4,280,735,000,000.00","4,352,017,000,000.00"
Đầu tư dài hạn khác,"302,650,000,000.00","234,462,000,000.00","234,462,000,000.00","234,462,000,000.00","234,462,000,000.00","234,462,000,000.00","234,462,000,000.00","234,462,000,000.00","234,462,000,000.00","234,462,000,000.00","234,462,000,000.00","234,462,000,000.00","234,462,000,000.00","234,462,000,000.00","234,462,000,000.00"
Dự phòng giảm giá đầu tư dài hạn,"-19,395,000,000.00","-18,181,000,000.00","-18,181,000,000.00","-18,181,000,000.00","-14,290,000,000.00","-14,431,000,000.00","-14,431,000,000.00","-14,431,000,000.00","-7,291,000,000.00","-7,335,000,000.00","-7,335,000,000.00","-7,335,000,000.00",0.00,0.00,0.00
Tài sản cố định,"10,202,191,000,000.00","10,057,208,000,000.00","9,867,790,000,000.00","9,766,512,000,000.00","10,125,534,000,000.00","9,921,221,000,000.00","9,763,538,000,000.00","9,622,806,000,000.00","10,002,157,000,000.00","9,800,697,000,000.00","9,957,216,000,000.00","9,979,231,000,000.00","10,826,743,000,000.00","10,766,129,000,000.00","10,708,883,000,000.00"
Tài sản cố định hữu hình,"6,047,480,000,000.00","5,966,505,000,000.00","5,842,698,000,000.00","5,791,752,000,000.00","6,133,262,000,000.00","5,961,800,000,000.00","5,870,057,000,000.00","5,780,898,000,000.00","6,149,216,000,000.00","5,998,739,000,000.00","6,117,422,000,000.00","6,091,227,000,000.00","6,729,017,000,000.00","6,535,353,000,000.00","6,473,599,000,000.00"
Tài sản cố định thuê tài chính,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tài sản cố định vô hình,"4,154,711,000,000.00","4,090,703,000,000.00","4,025,092,000,000.00","3,974,760,000,000.00","3,992,272,000,000.00","3,959,421,000,000.00","3,893,481,000,000.00","3,841,908,000,000.00","3,852,941,000,000.00","3,801,958,000,000.00","3,839,794,000,000.00","3,888,004,000,000.00","4,097,726,000,000.00","4,230,776,000,000.00","4,235,284,000,000.00"
Investment properties,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other assets,"81,638,416,000,000.00","62,169,836,000,000.00","56,253,470,000,000.00","57,511,545,000,000.00","59,569,502,000,000.00","54,728,245,000,000.00","52,653,317,000,000.00","46,839,436,000,000.00","44,693,023,000,000.00","44,224,217,000,000.00","45,732,797,000,000.00","47,814,263,000,000.00","55,633,932,000,000.00","67,499,847,000,000.00","71,296,936,000,000.00"
NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"1,809,188,549,000,000.00","1,823,962,183,000,000.00","1,860,104,522,000,000.00","1,888,338,295,000,000.00","2,032,690,017,000,000.00","2,077,615,056,000,000.00","2,161,436,302,000,000.00","2,229,791,111,000,000.00","2,385,387,732,000,000.00","2,469,863,401,000,000.00","2,609,788,006,000,000.00","2,761,550,938,000,000.00","2,767,699,300,000,000.00","2,924,176,928,000,000.00","2,962,003,670,000,000.00"
Tổng nợ phải trả,"1,700,883,827,000,000.00","1,711,017,010,000,000.00","1,742,044,149,000,000.00","1,766,333,172,000,000.00","1,905,119,435,000,000.00","1,947,032,568,000,000.00","2,025,463,448,000,000.00","2,088,805,155,000,000.00","2,236,883,024,000,000.00","2,315,881,229,000,000.00","2,445,961,810,000,000.00","2,591,669,938,000,000.00","2,588,044,295,000,000.00","2,735,484,770,000,000.00","2,761,789,368,000,000.00"
Các khoản nợ chính phủ và NHNN Việt Nam,"104,779,302,000,000.00","100,058,595,000,000.00","5,438,198,000,000.00","21,577,020,000,000.00","21,814,105,000,000.00","46,137,063,000,000.00","111,854,927,000,000.00","95,457,490,000,000.00","154,284,104,000,000.00","138,574,667,000,000.00","138,527,513,000,000.00","167,351,110,000,000.00","144,592,357,000,000.00","244,904,306,000,000.00","194,570,607,000,000.00"
Tiền gửi và vay các Tổ chức tín dụng khác,"210,159,957,000,000.00","177,278,728,000,000.00","263,937,809,000,000.00","288,612,623,000,000.00","304,424,134,000,000.00","325,515,909,000,000.00","297,408,527,000,000.00","298,636,949,000,000.00","276,141,255,000,000.00","309,038,693,000,000.00","306,985,657,000,000.00","412,057,260,000,000.00","417,724,115,000,000.00","462,375,728,000,000.00","472,518,030,000,000.00"
Tiền gửi của khách hàng,"1,249,181,034,000,000.00","1,272,350,383,000,000.00","1,310,048,451,000,000.00","1,310,323,594,000,000.00","1,410,899,038,000,000.00","1,427,664,878,000,000.00","1,466,830,363,000,000.00","1,516,890,438,000,000.00","1,606,316,685,000,000.00","1,621,227,454,000,000.00","1,719,957,759,000,000.00","1,775,527,421,000,000.00","1,793,732,057,000,000.00","1,824,177,457,000,000.00","1,890,809,553,000,000.00"
Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0.00,0.00,0.00,"50,406,000,000.00","555,946,000,000.00",0.00,"1,378,025,000,000.00",0.00,"390,841,000,000.00","532,504,000,000.00","641,551,000,000.00",0.00,0.00,"349,219,000,000.00","88,817,000,000.00"
