,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,BALANCE SHEEET,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CHỈ TIÊU,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
Tài sản thiếu chờ xử lý,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Hàng tồn kho, ròng","98,527,655,000,000.00","91,911,380,000,000.00","84,742,609,000,000.00","83,672,447,000,000.00","92,730,270,000,000.00","99,346,636,000,000.00","106,890,810,000,000.00","128,229,866,000,000.00","114,090,183,000,000.00","110,814,852,000,000.00","135,055,347,000,000.00","185,624,958,000,000.00","201,580,276,000,000.00","217,153,958,000,000.00","261,745,101,000,000.00"
Hàng tồn kho,"103,707,060,000,000.00","99,659,336,000,000.00","92,250,092,000,000.00","91,859,083,000,000.00","102,504,620,000,000.00","109,769,644,000,000.00","118,493,519,000,000.00","139,923,090,000,000.00","127,068,459,000,000.00","124,925,405,000,000.00","149,377,545,000,000.00","199,871,279,000,000.00","213,465,632,000,000.00","231,229,383,000,000.00","267,712,970,000,000.00"
Dự phòng giảm giá HTK,"-5,179,405,000,000.00","-7,747,956,000,000.00","-7,507,483,000,000.00","-8,186,636,000,000.00","-9,774,350,000,000.00","-10,423,008,000,000.00","-11,602,709,000,000.00","-11,693,224,000,000.00","-12,978,276,000,000.00","-14,110,553,000,000.00","-14,322,198,000,000.00","-14,246,321,000,000.00","-11,885,356,000,000.00","-14,075,425,000,000.00","-5,967,869,000,000.00"
Tài sản lưu động khác,"25,671,220,000,000.00","26,215,225,000,000.00","26,671,781,000,000.00","38,079,402,000,000.00","49,518,951,000,000.00","41,887,175,000,000.00","43,094,412,000,000.00","44,825,139,000,000.00","41,041,913,000,000.00","41,753,710,000,000.00","55,597,647,000,000.00","57,673,247,000,000.00","106,601,539,000,000.00","126,675,229,000,000.00","142,272,625,000,000.00"
Trả trước ngắn hạn,"3,640,986,000,000.00","2,052,811,000,000.00","2,151,363,000,000.00","2,747,202,000,000.00","2,860,966,000,000.00","2,991,531,000,000.00","3,704,772,000,000.00","3,787,617,000,000.00","4,592,399,000,000.00","2,872,465,000,000.00","3,742,120,000,000.00","4,878,936,000,000.00","4,610,562,000,000.00","4,402,833,000,000.00","5,252,569,000,000.00"
Thuế VAT phải thu,"8,432,650,000,000.00","9,560,017,000,000.00","9,319,412,000,000.00","9,764,559,000,000.00","10,555,092,000,000.00","9,784,429,000,000.00","10,287,668,000,000.00","10,767,432,000,000.00","10,199,557,000,000.00","10,777,098,000,000.00","12,466,532,000,000.00","13,202,119,000,000.00","13,568,614,000,000.00","13,952,306,000,000.00","8,762,946,000,000.00"
Phải thu thuế khác,"297,527,000,000.00","333,532,000,000.00","335,752,000,000.00","267,945,000,000.00","259,259,000,000.00","299,202,000,000.00","289,959,000,000.00","324,077,000,000.00","312,596,000,000.00","300,974,000,000.00",0.00,"207,729,000,000.00","266,775,000,000.00","226,516,000,000.00","367,793,000,000.00"
Giao dịch mua bán lại trái phiếu chính phủ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"204,862,000,000.00",0.00,0.00,0.00,0.00
Tài sản lưu động khác,"13,300,057,000,000.00","14,268,865,000,000.00","14,865,254,000,000.00","25,299,696,000,000.00","35,843,634,000,000.00","28,812,013,000,000.00","28,812,013,000,000.00","29,946,013,000,000.00","25,937,361,000,000.00","27,803,173,000,000.00","39,184,133,000,000.00","39,384,463,000,000.00","88,155,588,000,000.00","108,093,574,000,000.00","127,889,317,000,000.00"
TÀI SẢN DÀI HẠN,"302,584,761,000,000.00","304,927,080,000,000.00","319,948,038,000,000.00","327,360,635,000,000.00","327,007,916,000,000.00","343,898,795,000,000.00","371,076,200,000,000.00","367,483,444,000,000.00","440,123,992,000,000.00","451,086,356,000,000.00","429,101,195,000,000.00","497,228,434,000,000.00","459,850,161,000,000.00","509,608,676,000,000.00","483,276,351,000,000.00"
Phải thu dài hạn,"10,020,595,000,000.00","10,051,662,000,000.00","14,153,728,000,000.00","7,416,267,000,000.00","7,829,676,000,000.00","10,997,880,000,000.00","27,769,220,000,000.00","15,381,144,000,000.00","82,564,248,000,000.00","89,374,815,000,000.00","33,675,384,000,000.00","25,550,797,000,000.00","21,088,868,000,000.00","24,003,506,000,000.00","30,043,365,000,000.00"
Phải thu khách hàng dài hạn,"2,790,661,000,000.00","1,790,216,000,000.00","2,141,184,000,000.00","584,565,000,000.00","728,691,000,000.00","749,644,000,000.00","935,423,000,000.00","1,151,138,000,000.00","1,631,637,000,000.00","1,500,642,000,000.00","1,093,021,000,000.00","924,390,000,000.00","808,169,000,000.00","720,987,000,000.00","1,002,332,000,000.00"
