,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,INCOME STATEMENT,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CHỈ TIÊU,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
Lãi/(lỗ) ròng trước thuế,"326,309,324,725.00","143,801,432,376.00","870,358,213,225.00","374,009,805,527.00","9,931,140,596.00","385,033,243,521.00","1,383,092,893,741.00","501,624,284,138.00","1,343,082,876,957.00","645,517,619,044.00","1,544,956,532,364.00","1,252,623,797,254.00","1,177,892,569,323.00","806,315,423,458.00","1,809,233,530,949.00"
Thuế thu nhập doanh nghiệp – hiện thời,"-60,819,554,419.00","-115,379,177,335.00","-210,565,795,590.00","-179,219,034,696.00","-112,130,974,150.00","-138,562,027,956.00","-290,030,069,147.00","-217,716,064,052.00","-307,010,902,863.00","-220,731,017,417.00","-309,489,749,666.00","-464,850,763,582.00","-593,640,106,607.00","-238,953,677,106.00","-466,810,177,689.00"
Thuế thu nhập doanh nghiệp – hoãn lại,"-18,064,239,174.00","5,893,855,353.00","-8,004,466,103.00","63,442,734,763.00","22,618,431,223.00","6,993,164,020.00","9,457,042,111.00","13,209,810,322.00","-19,843,782,098.00","11,679,172,215.00","-38,330,165,997.00","-6,495,333,532.00","-43,010,225,064.00","11,408,724,987.00","13,398,634,662.00"
Chi phí thuế thu nhập doanh nghiệp,"-78,883,793,593.00","-109,485,321,982.00","-218,570,261,693.00","-115,776,299,933.00","-89,512,542,927.00","-131,568,863,936.00","-280,573,027,036.00","-204,506,253,730.00","-326,854,684,961.00","-209,051,845,202.00","-347,819,915,663.00","-471,346,097,114.00","-636,650,331,671.00","-227,544,952,119.00","-453,411,543,027.00"
Lãi/(lỗ) thuần sau thuế,"247,425,531,132.00","34,316,110,394.00","651,787,951,532.00","258,233,505,594.00","-79,581,402,331.00","253,464,379,585.00","1,102,519,866,705.00","297,118,030,408.00","1,016,228,191,996.00","436,465,773,842.00","1,197,136,616,701.00","781,277,700,140.00","541,242,237,652.00","578,770,471,339.00","1,355,821,987,922.00"
Lợi ích của cổ đông thiểu số,"163,421,179,575.00","126,600,564,709.00","330,652,089,869.00","136,202,157,894.00","-59,720,019,040.00","144,914,588,639.00","253,109,407,913.00","198,254,207,698.00","441,754,320,528.00","202,723,900,723.00","540,265,690,252.00","159,345,990,730.00","575,895,217,452.00","333,137,466,302.00","815,788,930,973.00"
Lợi nhuận của Cổ đông của Công ty mẹ,"84,004,351,557.00","-92,284,454,315.00","321,135,861,663.00","122,031,347,700.00","-19,861,383,291.00","108,549,790,946.00","849,410,458,792.00","98,863,822,710.00","574,473,871,468.00","233,741,873,119.00","656,870,926,449.00","621,931,709,410.00","-34,652,979,800.00","245,633,005,037.00","540,033,056,949.00"
Lãi cơ bản trên cổ phiếu,99.00,-108.00,377.00,143.00,-23.00,127.00,998.00,116.00,670.00,272.00,715.00,689.00,-38.00,272.00,328.00
Lãi trên cổ phiếu pha loãng,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EBIT,"3,499,908,525,079.00","3,070,753,292,288.00","2,909,367,679,211.00","3,089,223,118,518.00","2,793,560,040,995.00","2,768,018,363,194.00","2,480,764,881,965.00","2,667,022,798,496.00","3,733,255,432,954.00","4,000,230,463,991.00","4,718,681,131,169.00","4,686,985,719,572.00","4,920,436,840,142.00","5,227,738,476,089.00","5,731,367,345,195.00"
EBITDA,"7,100,863,778,016.00","6,612,779,672,802.00","6,483,114,477,820.00","7,196,538,239,960.00","6,990,727,337,595.00","6,824,290,195,264.00","5,976,989,807,385.00","5,646,083,875,472.00","6,668,173,551,221.00","6,977,386,578,974.00","7,797,062,460,040.00","7,847,478,068,165.00","8,158,515,083,526.00","8,115,352,583,630.00","8,073,462,379,692.00"
,,,,,,,,,,,,,,,
Dữ liệu được cung cấp bởi FiinTrade,,,,,,,,,,,,,,,
https://fiintrade.vn/,,,,,,,,,,,,,,,
