,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,CASH FLOW STATEMENT,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
Chi phí lãi vay đã trả,"-2,804,046,000,000.00","-2,972,381,000,000.00","-3,134,227,000,000.00","-3,775,766,000,000.00","-3,933,120,000,000.00","-4,459,331,000,000.00","-6,353,730,000,000.00","-5,857,537,000,000.00","-7,228,702,000,000.00","-5,853,488,000,000.00","-6,231,654,000,000.00","-7,101,369,000,000.00","-10,182,170,000,000.00","-1,182,924,000,000.00","-1,526,511,000,000.00"
Thuế thu nhập doanh nghiệp đã trả,"-345,134,000,000.00","-42,361,000,000.00","-1,204,128,000,000.00","-4,014,878,000,000.00","-2,068,549,000,000.00","-1,024,575,000,000.00","-1,316,281,000,000.00","-6,366,227,000,000.00","-3,137,974,000,000.00","-1,165,946,000,000.00","-15,177,042,000,000.00","-602,411,000,000.00","-114,715,000,000.00","-892,445,000,000.00","-8,752,932,000,000.00"
Tiền thu khác từ các hoạt động kinh doanh,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tiền chi khác từ các hoạt động kinh doanh,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,"8,894,557,000,000.00","-9,602,864,000,000.00","-384,619,000,000.00","-19,090,489,000,000.00","-9,216,859,000,000.00","5,079,782,000,000.00","3,766,764,000,000.00","5,698,605,000,000.00","-31,388,238,000,000.00","-16,628,742,000,000.00","-76,405,131,000,000.00","-51,501,835,000,000.00","4,607,305,000,000.00","-68,459,360,000,000.00","-106,083,575,000,000.00"
Tiền mua tài sản cố định và các tài sản dài hạn khác,"-16,381,085,000,000.00","-14,719,985,000,000.00","-12,295,347,000,000.00","-15,067,030,000,000.00","-16,735,129,000,000.00","-16,755,198,000,000.00","-4,200,691,000,000.00","-5,993,785,000,000.00","-21,617,763,000,000.00","-12,883,907,000,000.00","-29,926,382,000,000.00","-26,016,418,000,000.00","-7,330,365,000,000.00","-20,163,846,000,000.00","-50,523,009,000,000.00"
Tiền thu được từ thanh lý tài sản cố định,"-144,336,000,000.00","22,683,000,000.00","210,091,000,000.00","46,964,000,000.00","520,095,000,000.00","1,386,000,000.00","1,979,228,000,000.00","-704,103,000,000.00","1,982,242,000,000.00","250,577,000,000.00","354,701,000,000.00","383,591,000,000.00","663,081,000,000.00","2,310,009,000,000.00","328,980,000,000.00"
Tiền cho vay hoặc mua công cụ nợ,"-1,670,869,000,000.00","-1,209,790,000,000.00","-4,871,240,000,000.00","-3,508,513,000,000.00","-2,989,749,000,000.00","-3,886,771,000,000.00","-10,494,354,000,000.00","-1,879,147,000,000.00","-14,199,186,000,000.00","-8,628,702,000,000.00","-17,423,096,000,000.00","-4,061,682,000,000.00","-1,748,838,000,000.00","-16,644,061,000,000.00","-3,606,832,000,000.00"
Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,"7,344,632,000,000.00","1,063,763,000,000.00","4,803,102,000,000.00","1,720,101,000,000.00","5,312,541,000,000.00","4,897,667,000,000.00","6,480,037,000,000.00","3,956,886,000,000.00","341,218,000,000.00","3,274,341,000,000.00","2,138,007,000,000.00","11,284,465,000,000.00","29,387,184,000,000.00","1,266,063,000,000.00","7,698,778,000,000.00"
Đầu tư vào các doanh nghiệp khác,"-3,201,604,000,000.00","-883,522,000,000.00","-1,682,130,000,000.00","-13,076,978,000,000.00","-10,740,911,000,000.00","-14,204,624,000,000.00","-8,228,998,000,000.00","-5,611,481,000,000.00","-9,633,227,000,000.00","-2,837,438,000,000.00","-36,426,535,000,000.00","-65,173,100,000,000.00","-39,328,117,000,000.00","-46,692,308,000,000.00","-91,381,513,000,000.00"
Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,"19,183,559,000,000.00","6,113,352,000,000.00","12,428,397,000,000.00","10,539,154,000,000.00","15,403,236,000,000.00","34,987,549,000,000.00","15,096,754,000,000.00","15,808,715,000,000.00","13,255,649,000,000.00","3,792,505,000,000.00","3,655,947,000,000.00","31,734,152,000,000.00","18,517,232,000,000.00","9,263,567,000,000.00","31,049,081,000,000.00"
