,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,INCOME STATEMENT,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CHỈ TIÊU,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
Lãi/(lỗ) ròng trước thuế,"-2,078,547,921,756.00","532,042,789,767.00","1,701,886,953,766.00","2,174,230,121,892.00","3,384,568,877,748.00","3,261,215,356,873.00","3,733,225,669,765.00","3,412,385,133,844.00","3,286,676,100,696.00","3,839,765,349,020.00","4,972,383,493,663.00","4,628,313,172,434.00","4,600,129,962,763.00","10,762,183,839,545.00","7,184,684,207,426.00"
Thuế thu nhập doanh nghiệp – hiện thời,"32,459,684,129.00","-295,418,907,438.00","-207,379,564,722.00","-214,353,855,084.00","-356,399,560,815.00","-415,478,064,702.00","-419,294,315,425.00","-427,815,885,551.00","-503,217,741,562.00","-512,281,294,123.00","-684,398,735,485.00","-632,794,091,038.00","-744,749,714,238.00","-1,681,871,206,942.00","-904,510,286,555.00"
Thuế thu nhập doanh nghiệp – hoãn lại,"47,320,935,492.00","146,605,725,742.00","-46,682,549,251.00","40,486,817,524.00","-59,198,534,048.00","23,445,310,301.00","5,643,364,205.00","37,102,736,610.00","26,135,956,217.00","22,321,361,187.00","-23,460,652,646.00","16,733,235,327.00","32,969,484,742.00","-24,394,432,580.00","144,300,346,223.00"
Chi phí thuế thu nhập doanh nghiệp,"79,780,619,621.00","-148,813,181,696.00","-254,062,113,973.00","-173,867,037,560.00","-415,598,094,863.00","-392,032,754,401.00","-413,650,951,220.00","-390,713,148,941.00","-477,081,785,345.00","-489,959,932,936.00","-707,859,388,131.00","-616,060,855,711.00","-711,780,229,496.00","-1,706,265,639,522.00","-760,209,940,332.00"
Lãi/(lỗ) thuần sau thuế,"-1,998,767,302,135.00","383,229,608,071.00","1,447,824,839,793.00","2,000,363,084,332.00","2,968,970,782,885.00","2,869,182,602,472.00","3,319,574,718,545.00","3,021,671,984,903.00","2,809,594,315,351.00","3,349,805,416,084.00","4,264,524,105,532.00","4,012,252,316,723.00","3,888,349,733,267.00","9,055,918,200,023.00","6,424,474,267,094.00"
Lợi ích của cổ đông thiểu số,"-7,218,803,823.00","-14,267,667,131.00","-12,217,773,305.00","-4,382,002,450.00","-3,808,576,389.00","-1,406,090,519.00","311,576,683.00","-1,274,647,147.00","948,946,180.00","5,520,721,696.00","8,036,893,768.00","23,933,842,184.00","24,266,107,735.00","61,914,955,881.00","53,455,262,531.00"
Lợi nhuận của Cổ đông của Công ty mẹ,"-1,991,548,498,312.00","397,497,275,202.00","1,460,042,613,098.00","2,004,745,086,782.00","2,972,779,359,274.00","2,870,588,692,991.00","3,319,263,141,862.00","3,022,946,632,050.00","2,808,645,369,171.00","3,344,284,694,388.00","4,256,487,211,764.00","3,988,318,474,539.00","3,864,083,625,532.00","8,994,003,244,142.00","6,371,019,004,563.00"
Lãi cơ bản trên cổ phiếu,0.00,0.00,303.00,0.00,0.00,0.00,919.00,0.00,0.00,0.00,0.00,0.00,"1,973.00",0.00,0.00
Lãi trên cổ phiếu pha loãng,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EBIT,"13,078,175,872,803.00","4,729,362,274,017.00","1,369,628,063,811.00","4,014,264,868,051.00","9,669,188,228,747.00","11,946,561,654,712.00","13,734,554,828,126.00","14,708,063,114,971.00","14,614,724,419,648.00","15,757,493,156,432.00","17,088,004,918,184.00","18,330,869,905,214.00","20,427,620,113,785.00","22,722,723,406,616.00","25,743,045,828,578.00"
EBITDA,"19,850,316,769,753.00","11,514,341,658,713.00","8,139,831,864,337.00","10,769,267,825,827.00","16,443,221,709,448.00","18,793,605,149,258.00","20,648,884,356,500.00","21,671,803,666,842.00","21,530,395,750,845.00","22,752,951,358,569.00","23,971,069,674,678.00","25,611,904,933,110.00","28,898,303,373,941.00","32,246,017,434,574.00","36,500,355,484,860.00"
,,,,,,,,,,,,,,,
Dữ liệu được cung cấp bởi FiinTrade,,,,,,,,,,,,,,,
https://fiintrade.vn/,,,,,,,,,,,,,,,
