,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Title,INCOME STATEMENT,,,,,,,,,,,,,,
Date Of Extract,8/28/2026,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CHỈ TIÊU,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026
Chi phí hoạt động,"-6,363,452,000,000.00","-4,313,889,000,000.00","-4,743,381,000,000.00","-5,081,879,000,000.00","-6,304,215,000,000.00","-4,807,448,000,000.00","-5,073,752,000,000.00","-6,094,955,000,000.00","-6,569,774,000,000.00","-5,519,223,000,000.00","-5,847,160,000,000.00","-6,021,945,000,000.00","-9,164,596,000,000.00","-6,261,263,000,000.00","-6,355,563,000,000.00"
LN thuần từ hoạt động kinh doanh trước CF dự phòng rủi ro tín dụng,"10,881,891,000,000.00","12,704,156,000,000.00","13,028,549,000,000.00","12,311,275,000,000.00","12,171,223,000,000.00","14,259,441,000,000.00","14,566,685,000,000.00","15,821,343,000,000.00","14,715,285,000,000.00","14,934,160,000,000.00","15,069,920,000,000.00","16,477,799,000,000.00","14,259,986,000,000.00","18,840,291,000,000.00","20,029,027,000,000.00"
Chi phí dự phòng rủi ro tín dụng,"-5,532,595,000,000.00","-6,723,821,000,000.00","-6,478,353,000,000.00","-7,440,325,000,000.00","-4,472,642,000,000.00","-8,049,159,000,000.00","-7,816,739,000,000.00","-9,268,664,000,000.00","-2,464,267,000,000.00","-8,110,962,000,000.00","-2,972,768,000,000.00","-5,863,409,000,000.00","-350,917,000,000.00","-7,700,931,000,000.00","-5,300,282,000,000.00"
Tổng lợi nhuận trước thuế,"5,349,296,000,000.00","5,980,335,000,000.00","6,550,196,000,000.00","4,870,950,000,000.00","7,698,581,000,000.00","6,210,282,000,000.00","6,749,946,000,000.00","6,552,679,000,000.00","12,251,018,000,000.00","6,823,198,000,000.00","12,097,152,000,000.00","10,614,390,000,000.00","13,909,069,000,000.00","11,139,360,000,000.00","14,728,745,000,000.00"
Chi phí thuế TNDN hiện hành,"-1,075,213,000,000.00","-1,149,134,000,000.00","-1,286,541,000,000.00","-975,628,000,000.00","-1,555,298,000,000.00","-1,207,758,000,000.00","-1,340,587,000,000.00","-1,360,167,000,000.00","-2,377,386,000,000.00","-1,319,472,000,000.00","-2,345,147,000,000.00","-2,101,927,000,000.00","-2,802,062,000,000.00","-2,179,319,000,000.00","-2,945,255,000,000.00"
Chi phí thuế TNDN hoãn lại,"-451,000,000.00",0.00,0.00,0.00,"-59,000,000.00",0.00,0.00,0.00,"4,540,000,000.00","-4,339,000,000.00",0.00,0.00,"404,000,000.00",0.00,0.00
Chi phí thuế thu nhập doanh nghiệp,"-1,075,664,000,000.00","-1,149,134,000,000.00","-1,286,541,000,000.00","-975,628,000,000.00","-1,555,357,000,000.00","-1,207,758,000,000.00","-1,340,587,000,000.00","-1,360,167,000,000.00","-2,372,846,000,000.00","-1,323,811,000,000.00","-2,345,147,000,000.00","-2,101,927,000,000.00","-2,801,658,000,000.00","-2,179,319,000,000.00","-2,945,255,000,000.00"
Lợi nhuận sau thuế,"4,273,632,000,000.00","4,831,201,000,000.00","5,263,655,000,000.00","3,895,322,000,000.00","6,143,224,000,000.00","5,002,524,000,000.00","5,409,359,000,000.00","5,192,512,000,000.00","9,878,172,000,000.00","5,499,387,000,000.00","9,752,005,000,000.00","8,512,463,000,000.00","11,107,411,000,000.00","8,960,041,000,000.00","11,783,490,000,000.00"
Lợi ích của cổ đông thiểu số,"-13,221,000,000.00","-24,824,000,000.00","-60,349,000,000.00","-32,247,000,000.00","-23,749,000,000.00","-43,714,000,000.00","-44,064,000,000.00","33,347,000,000.00","-79,921,000,000.00","-80,512,000,000.00","-82,120,000,000.00","-63,679,000,000.00","-40,474,000,000.00","-43,062,000,000.00","-43,430,000,000.00"
Cổ đông của Công ty mẹ,"4,260,411,000,000.00","4,806,377,000,000.00","5,203,306,000,000.00","3,863,075,000,000.00","6,119,475,000,000.00","4,958,810,000,000.00","5,365,295,000,000.00","5,225,859,000,000.00","9,798,251,000,000.00","5,418,875,000,000.00","9,669,885,000,000.00","8,448,784,000,000.00","11,066,937,000,000.00","8,916,979,000,000.00","11,740,060,000,000.00"
Lãi cơ bản trên cổ phiếu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EBIT,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Dữ liệu được cung cấp bởi FiinTrade,,,,,,,,,,,,,,,
https://fiintrade.vn/,,,,,,,,,,,,,,,
